Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Junior Data Scientist,$61K - $114K (Glassdoor est.),"Abbott is a global healthcare leader that helps people live more fully at all stages of life. Our portfolio of life-changing technologies spans the spectrum of healthcare, with leading businesses and products in diagnostics, medical devices, nutritionals, and branded generic medicines. Our 109,000 colleagues serve people in more than 160 countries.
WHAT YOU’LL DO
Entry level role in the Data Science & Advanced Analytics group of the organization
This role will assist in development of data platforms, business solutions, and proof of concept to assist the data science team in realizing business goals
Demonstrate high degree of analytic agility to meet fluid and dynamic business needs
Develop analytical solutions by using and applying appropriate methodology – including, but not limited to machine learning, natural language processing, image processing, simulation, forecasting, scenario analysis, and mathematical programming",3.9,"Abbott Laboratories
3.9","Waukegan, IL",10000+ Employees,1888,,Health Care Services & Hospitals,Health Care,$10+ billion (USD)
Data Scientist,$92K - $158K (Glassdoor est.),"Company Description

Robert Bosch is a world-class engineering and manufacturing company. Our products impact hundreds of millions of people every day, many in safety critical systems. Artificial intelligence is impacting Bosch’s products and services in many domains, including: manufacturing, autonomous driving, predictive maintenance, vehicle diagnostics and supply chain & logistics. The Bosch Center for Artificial Intelligence provides AI technologies to Bosch’s business units and plants. We are a global team of data scientists, engineers and research scientists focused on applying state-of-the-art AI models to improve all aspects of Bosch’s products and operations.

Job Description

This is a technical position for someone who is skilled at bringing together disparate technologies to solve business problems.",3.9,"Bosch Group
3.9","Sunnyvale, CA",10000+ Employees,1886,Company - Private,Miscellaneous Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist,$56K - $98K (Glassdoor est.),"What We Offer:
At Blain’s Farm & Fleet we believe everyone deserves the opportunity to have a job they love, work in a great environment, grow their career, and enjoy a positive balance.

As a family-owned retailer we take pride in offering a competitive benefit package designed to support you and your life. It is one of the reasons we have been named a Forbes Best Employer for three consecutive years!
Employee discount
Internal recognition programs that support an engaged workplace
Profit Sharing
What Youâll Do:
What it Takes:",3.2,"Blain's Farm & Fleet
3.2","Janesville, WI",1001 to 5000 Employees,1955,Company - Private,Other Retail Stores,Retail,Unknown / Non-Applicable
Data Scientist,$80K - $157K (Glassdoor est.),"Purpose & Overall Relevance for the Organization:

The Data Scientist will develop key data science products, methods, and models across the full analytics lifecycle: from defining the business & data understanding to data preparation, modeling, evaluation and deployment.

Key Responsibilities:",4.0,"Adidas
4.0","Portland, OR",10000+ Employees,1949,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD)
Data Scientist – Deep Learning,$93K - $169K (Glassdoor est.),"Company Description

The Bosch Center for Artificial Intelligence provides services in AI technologies to Bosch’s business units and plants. Artificial intelligence technologies are impacting Bosch’s products and services in many domains: manufacturing, predictive maintenance, vehicle diagnostics, supply chain, large-scale simulations, etc. This is a technical position for someone who is skilled at bringing together disparate technologies to solve business problems.

Job Description

Bosch is at the forefront of innovation in the connected world and is impacting millions of lives every day through its products in mobility, industrial technology, consumer goods and energy and smart building sectors. We rely on data for every aspect of our product lifecycle and operations and we collect a lot of it every day.",3.9,"Bosch Group
3.9","Sunnyvale, CA",10000+ Employees,1886,Company - Private,Miscellaneous Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist,Employer Provided Salary:$80K - $120K,"Essential Functions & Responsibilities:
Extract data from internal and external databases.
Analyze exploratory data; clean, transform, and aggregate datasets.
Build tools to automate data collection.
Assist with various data analysis and modeling projects.
Understands business initiatives and is a primary analytics resource for business partners.
Develop, maintain and improve holistic datasets, reports, and dashboards to monitor company performance.
Determine analytical approaches to solve business objectives, using machine learning when applicable.",4.5,"Growers Edge Financial, Inc.
4.5","Johnston, IA",1 to 50 Employees,-1,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable
Data Scientist (Multiple Levels),$87K - $153K (Glassdoor est.),"A career at T. Rowe Price says you want to contribute and make a difference at a leading global investment management firm where success results from the dedication our associates have in building success for our clients. We are a growing organization of associates from diverse backgrounds, experiences, and perspectives.
We take a long-term view on associates and their careers. Our associates do phenomenal work with purpose, and as a result, we provide growth opportunities through in-person and online training, management development programs, and career development on the job.",3.9,"T. Rowe Price
3.9","New York, NY",5001 to 10000 Employees,1937,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD)
Data Scientist,$81K - $147K (Glassdoor est.),"FocusKPI is looking for a Data Scientist to work for our client.

Work Location: Remote
Duration: Contract position and potential for extension
Responsibilities
Perform hands-on coding to retrieve and analyze large datasets using Python and SQL
Integrate disparate data sources and leverage state-of-the-art analytics best practices to deliver integrated actionable insights to partners and stakeholders
Manage and streamline data extraction process with great attention to details
Assess the potential usefulness, validity, and rigor of new data sources",3.4,"FocusKPI Inc.
3.4","San Francisco, CA",51 to 200 Employees,-1,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD)
Data Scientist | $120k/yr,Employer Provided Salary:$50 - $60 Per Hour,"Basic Quals:
-PhD with 1 year of experience or MS with 2 years of experience in Data Science, Statistics, Applied Mathematics, Machine Learning, or another highly -quantitative discipline
-Strong Python coding skills
-Predictive machine learning, simulation, and/or statistical models.
Preferred Qualifications:
-Passion for writing well-structured, well-tested, maintainable, performant, and well-documented code, with an emphasis on scientific code.",-1,The Climate Corporation,"Saint Louis, MO",-1,-1,-1,-1,-1,-1
Data Scientist 2,-1,"ICON plc is a world-leading healthcare intelligence and clinical research organisation. From molecule to medicine, we advance clinical research providing outsourced services to pharmaceutical, biotechnology, medical device and government and public health organisations.
With our patients at the centre of all that we do, we help to accelerate the development of drugs and devices that save lives and improve quality of life.
Our people are our greatest strength, are at the core of our culture, and the driving force behind our success. ICON people have a mission to succeed and a passion that ensures what we do, we do well.
Responsibilities
Healthcare Intelligence Experts.

Symphony Health, part of the ICON plc family, comprises curious thinkers and intellectual problem solvers driving the healthcare data industry forward. We leverage our large, integrated healthcare data repository and our analytic expertise to build customized, agile data solutions which answer the questions our clients - life science manufacturers, payers, and providers - have today, as well as those they’ll have tomorrow. Together, we can help patients get the right drugs at the right times.",4.1,"PRA Health Sciences
4.1",Remote,10000+ Employees,1976,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
