,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Min_S,Max_S,avg_salary,Country,age_company,python,java,machine learning,aws,Job,Seniority
0,Junior Data Scientist,61 - 114 ,"Abbott is a global healthcare leader that helps people live more fully at all stages of life. Our portfolio of life-changing technologies spans the spectrum of healthcare, with leading businesses and products in diagnostics, medical devices, nutritionals, and branded generic medicines. Our 109,000 colleagues serve people in more than 160 countries.
WHAT YOU’LL DO
Entry level role in the Data Science & Advanced Analytics group of the organization
This role will assist in development of data platforms, business solutions, and proof of concept to assist the data science team in realizing business goals
Demonstrate high degree of analytic agility to meet fluid and dynamic business needs
Develop analytical solutions by using and applying appropriate methodology – including, but not limited to machine learning, natural language processing, image processing, simulation, forecasting, scenario analysis, and mathematical programming",3.9,Abbott Laboratories,"Waukegan, IL",10000+ Employees,1888.0, ,Health Care Services & Hospitals,Health Care,$10+ billion (USD),61,114,87.5,IL,133.0,0,0,1,0,data scientist,na
1,Data Scientist,92 - 158 ,"Company Description

Robert Bosch is a world-class engineering and manufacturing company. Our products impact hundreds of millions of people every day, many in safety critical systems. Artificial intelligence is impacting Bosch’s products and services in many domains, including: manufacturing, autonomous driving, predictive maintenance, vehicle diagnostics and supply chain & logistics. The Bosch Center for Artificial Intelligence provides AI technologies to Bosch’s business units and plants. We are a global team of data scientists, engineers and research scientists focused on applying state-of-the-art AI models to improve all aspects of Bosch’s products and operations.

Job Description

This is a technical position for someone who is skilled at bringing together disparate technologies to solve business problems.",3.9,Bosch Group,"Sunnyvale, CA",10000+ Employees,1886.0,Company - Private,Miscellaneous Manufacturing,Manufacturing,$10+ billion (USD),92,158,125.0,CA,135.0,0,0,0,0,data scientist,na
2,Data Scientist,56 - 98 ,"What We Offer:
At Blain’s Farm & Fleet we believe everyone deserves the opportunity to have a job they love, work in a great environment, grow their career, and enjoy a positive balance.

As a family-owned retailer we take pride in offering a competitive benefit package designed to support you and your life. It is one of the reasons we have been named a Forbes Best Employer for three consecutive years!
Employee discount
Internal recognition programs that support an engaged workplace
Profit Sharing
What Youâll Do:
What it Takes:",3.2,Blain's Farm & Fleet,"Janesville, WI",1001 to 5000 Employees,1955.0,Company - Private,Other Retail Stores,Retail,Unknown / Non-Applicable,56,98,77.0,WI,66.0,0,0,0,0,data scientist,na
3,Data Scientist,80 - 157 ,"Purpose & Overall Relevance for the Organization:

The Data Scientist will develop key data science products, methods, and models across the full analytics lifecycle: from defining the business & data understanding to data preparation, modeling, evaluation and deployment.

Key Responsibilities:",4.0,Adidas,"Portland, OR",10000+ Employees,1949.0,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),80,157,118.5,OR,72.0,0,0,0,0,data scientist,na
4,Data Scientist – Deep Learning,93 - 169 ,"Company Description

The Bosch Center for Artificial Intelligence provides services in AI technologies to Bosch’s business units and plants. Artificial intelligence technologies are impacting Bosch’s products and services in many domains: manufacturing, predictive maintenance, vehicle diagnostics, supply chain, large-scale simulations, etc. This is a technical position for someone who is skilled at bringing together disparate technologies to solve business problems.

Job Description

Bosch is at the forefront of innovation in the connected world and is impacting millions of lives every day through its products in mobility, industrial technology, consumer goods and energy and smart building sectors. We rely on data for every aspect of our product lifecycle and operations and we collect a lot of it every day.",3.9,Bosch Group,"Sunnyvale, CA",10000+ Employees,1886.0,Company - Private,Miscellaneous Manufacturing,Manufacturing,$10+ billion (USD),93,169,131.0,CA,135.0,0,0,0,0,data scientist,na
5,Data Scientist,80 - 120,"Essential Functions & Responsibilities:
Extract data from internal and external databases.
Analyze exploratory data; clean, transform, and aggregate datasets.
Build tools to automate data collection.
Assist with various data analysis and modeling projects.
Understands business initiatives and is a primary analytics resource for business partners.
Develop, maintain and improve holistic datasets, reports, and dashboards to monitor company performance.
Determine analytical approaches to solve business objectives, using machine learning when applicable.",4.5,"Growers Edge Financial, Inc.","Johnston, IA",1 to 50 Employees,-1.0,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,80,120,100.0,IA,2022.0,0,0,1,0,data scientist,na
6,Data Scientist (Multiple Levels),87 - 153 ,"A career at T. Rowe Price says you want to contribute and make a difference at a leading global investment management firm where success results from the dedication our associates have in building success for our clients. We are a growing organization of associates from diverse backgrounds, experiences, and perspectives.
We take a long-term view on associates and their careers. Our associates do phenomenal work with purpose, and as a result, we provide growth opportunities through in-person and online training, management development programs, and career development on the job.",3.9,T. Rowe Price,"New York, NY",5001 to 10000 Employees,1937.0,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),87,153,120.0,NY,84.0,0,0,0,0,data scientist,na
7,Data Scientist,81 - 147 ,"FocusKPI is looking for a Data Scientist to work for our client.

Work Location: Remote
Duration: Contract position and potential for extension
Responsibilities
Perform hands-on coding to retrieve and analyze large datasets using Python and SQL
Integrate disparate data sources and leverage state-of-the-art analytics best practices to deliver integrated actionable insights to partners and stakeholders
Manage and streamline data extraction process with great attention to details
Assess the potential usefulness, validity, and rigor of new data sources",3.4,FocusKPI Inc.,"San Francisco, CA",51 to 200 Employees,-1.0,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),81,147,114.0,CA,2022.0,1,0,0,0,data scientist,na
10,"Data Scientist, Personalization",78 - 176 ,"Data, Research & Insights
Data Science
The Personalization team makes deciding what to play next easier and more enjoyable for every listener. From Daily Mix to Discover Weekly, we’re behind some of Spotify’s most-loved features. We built them by understanding the world of music and podcasts better than anyone else. Join us and you’ll keep millions of users listening by making great recommendations to each and every one of them. We ask that our team members be physically located in Central European time or Eastern Standard/Daylight time zones for the purposes of our collaboration hours.
Location
New York or Remote Americas
Job type",4.1,Spotify,"New York, NY",5001 to 10000 Employees,2006.0,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,78,176,127.0,NY,15.0,0,0,0,0,data scientist,na
11,Senior Data Scientist,78 - 138 ,"This teammate will be responsible for leading advanced analytics projects using big data and advanced data science method & technologies supporting Schnucks' innovation and business goals. This role will focus on producing insights that will improve customer experience, operational effectiveness, and increase business value.

A successful candidate will be a problem solver who enjoys diving into data, is excited by difficult modeling challenges, and possesses strong communication skills to effectively interface between technical and business teams.

The Senior Data Scientist will design quantitative systems and forecasting models focused on business predictions of the highest level of visibility and importance for Schnucks' growth.This role will use advanced statistical and machine learning techniques to create scalable optimization and predictive systems supporting our company strategy. This role will partner across our business, data, and IT organizations to build end-to-end data pipelines to deploy advanced models having exposure to senior leadership by communicating results and provide scientific guidance to the business.

In addition, this role will contribute to the development of Schnucks' data science best practices, including analytics governance model development and deployment, data science program and principles development, and technology toolkit development and training. This role will act as a trusted adviser to help shape and deploy Schnucks' data science strategy, and lead fundamental aspects of our evegreen Data Science training program.


Perform analysis using data science techniques on structured and unstructured data sets, and develop algorithms for targeted business needs. Design and develop data models to predict business outcomes or future impact of decisions. Establish scalable, efficient, automated processes for large scale data analyses, model development, model validation, and model implementation.
Design and construct analysis tools that extract, and analyze data and store analytical results in an appropriate format for business needs. Conduct exploratory data analysis from complex data sources and build key data sets to support Schnucks' mission. Use deep learning, machine learning and analytical techniques to create scalable solutions for business problems.
Evaluate and design experiments to monitor key metrics and identify improvement opportunities. Develop mathematical and statistical models to distinguish relevant content or events and recognize patterns. Participate in presentations and communicate results of analysis and findings. Collaborate with information technology or external vendors in the deployment of insights through company applications.
Co-lead development, deployment and maintenance of SMI's evergreen Data Science training program. Evaluate and utilize appropriate BI/data visualization tools available in the toolkit to streamline insights deployment.
Stay up-to-date to most current evolvement in the Analytics and Data Science arena, with focus on personal development applied towards on the job experiences.
Actively assist and collaborate with others in the department in the continuous learning and knowledge sharing process across the Analytics & Science continuum
Support Schnucks' data science governance maturity, by contributing to development of analytics governance, best practices, and methodologies.
Track general business activity and provide clear, compelling management reporting on a regular basis.


Graduate level education.
3 to 5 years.


+4 years of experience in modeling and statistical analysis of large data sets in data science roles, involving data extraction, analysis, statistical modeling, and communication. Leverage of G Suite with solid storytelling skills.
Knowledge of SQL and RDBMS. Strong domain knowledge in query languages, programming languages and statistical computing. Prior experience leveraging cloud computing solutions and Alteryx preferred.
Experience with mixed integer linear programming and CPLEX is preferred.
Strong attention to detail. Strong project management skills.
Past and current experience writing and speaking about complex technical concepts to broad audiences in a simplified format. Track record of diving into data to discover hidden patterns.
Previous experience working in the areas of inferential statistics, machine learning, and artificial intelligence preferred.
Graduate degree in Statistics, Mathematics, Computer Science, Informatics, Econometrics, Engineering, Experimental Science, or equivalent experience.
4+ years of experience in data science capabilities including data mining, predictive modeling, machine learning, statistical modeling, large scale data acquisition, transformation, and structured and unstructured data analysis.
Experience with database technologies, query language, as well as fluency in managing and analyzing large data sets of data with advanced tools, such as R and Python etc.
Ability to handle large amounts of data, identify key information and provide insightful recommendations to all levels within the organization.
Ability to communicate well, form strong partnerships and powerfully convey their recommendations in order to gain action on their insights.
Highly self-motivated with a strong sense of urgency to be able to work both independently and in team settings in a fast-paced environment; capability to manage urgency timelines.
Excellent communication, service orientation and strong relationship building skills.


minimum of six months employment with Schnucks.
minimum of one year employment with Schnucks.
Must be in good standing (not on a performance improvement plan or active discipline).
If invited for an interview, must have manager approval based on performance.

Schnucks is an Equal Opportunity Employer.",3.2,Schnucks,"Saint Louis, MO",10000+ Employees,1939.0,Company - Private,Grocery Stores & Supermarkets,Retail,$2 to $5 billion (USD),78,138,108.0,MO,82.0,1,0,1,0,data scientist,senior
